Группа2;%Revenue;%Absolute Margin;%Num of check;%Num of goods;%Num of unique clients;Num of check;Num of goods;Num of unique clients
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;91.10493800881598;91.17731762423344;2432;25473;10997;94.44660194174757;88.71282301316431;90.42841871556615
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;93.67263088883348;96.17922305258197;842;14877;1497;96.67049368541906;92.27190969422564;92.69349845201238
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;83.1215328323563;86.74687381583934;96;145;75;91.42857142857143;91.77215189873418;89.28571428571429
ТЕКСТИЛЬ, ТРИКОТАЖ;76.88051315978448;77.77095562377242;2962;65372;17060;88.10232004759072;77.3972035092289;82.28031253014373
СОПУТСТВУЮЩИЕ ТОВАРЫ;87.05442224888826;86.87872763419483;225;892;469;86.53846153846155;76.8303186907838;79.22297297297297
ПОДГУЗНИКИ;93.42172026532677;92.71236051352425;2117;61078;22042;97.19926538108356;92.85757723181707;93.76382508082355
ОБУВЬ;70.05329893846884;69.24569433459607;1257;9564;5741;82.69736842105263;71.76408794177233;75.13414474545218
КРУПНОГАБАРИТНЫЙ ТОВАР;91.38965209806206;91.3368428669714;4129;24813;18869;94.48512585812358;91.05688073394495;92.36379656370846
КОСМЕТИКА/ГИГИЕНА;89.76678272569364;89.73820092399674;1367;49784;11300;96.7445152158528;89.03832740149876;90.18355945730248
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;85.59312236412839;85.52569149526079;1970;16198;4147;90.44995408631772;82.27764514654339;85.80591764949307
ИГРУШКИ;90.33060959256599;91.01042774721142;5806;75397;29309;92.86628278950737;85.99600798403195;90.5772915507757
ЖЕНСКИЕ ШТУЧКИ;80.09384047119896;78.03616337185242;159;773;285;92.98245614035088;83.11827956989248;81.42857142857143
ДЕТСКОЕ ПИТАНИЕ;94.37639594814847;94.06430613520106;2495;258183;13181;97.53713838936669;93.09091564657737;93.14536075189032
