Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Центральный ф.о.;226335063;45373235;0.20046931482286506;4315.916959954342;1713;10513;453314;4;52956;857
Уральский ф.о.;22369353;5009718;0.22395453279314784;1608.7726396917149;2429;3114;25171;3;4783;1047
Северо-Западный ф.о.;28801631;5502336;0.19104251422428126;1584.317880794702;1770;3473;42824;3;8081;681
Приволжский ф.о.;52664511;10740864;0.20394880339817453;2179.5584415584417;1919;4928;78289;3;12907;832
Южный ф.о.;30206482;6666473;0.22069676965361276;1809.5746471226928;2441;3684;35053;3;5927;1125
Сибирский ф.о.;23352476;4811503;0.2060382376583965;1533.791201785145;2347;3137;31147;3;4718;1020
Дальневосточный ф.о.;3289543;527761;0.16043596329338147;462.9482456140351;1678;1140;10482;5;517;1021
Восточно-Сибирский ф.о.;1019463;185928;0.18237836978880057;409.5330396475771;2114;454;1462;3;242;768
Крымский ф.о.;275276;37769;0.1372041151426205;156.0702479338843;1943;242;582;4;68;555
Северо-Кавказский ф.о.;124669;28841;0.23134058988200756;259.8288288288288;1252;111;198;4;42;687
